1  ,0.240615,0.933731
2  ,0.055971,0.983591
3  ,0.036915,0.988744
4  ,0.326840,0.923409
5  ,0.067141,0.979956
6  ,0.061403,0.982824
7  ,0.041486,0.988561
8  ,0.043998,0.989745
9  ,0.025160,0.992129
10 ,0.026456,0.992279
11 ,0.020484,0.993797
12 ,0.018093,0.993713
13 ,0.014813,0.995331
14 ,0.011183,0.996281
15 ,0.009207,0.997098
16 ,0.008358,0.997415
17 ,0.007709,0.997599
18 ,0.007652,0.997615
19 ,0.006889,0.997816
20 ,0.004457,0.998549
1  ,0.342133,0.914238
2  ,0.088494,0.977588
3  ,0.048385,0.985592
4  ,0.032629,0.990228
5  ,0.024635,0.992629
6  ,0.019421,0.993947
7  ,0.017338,0.994447
8  ,0.013313,0.996098
9  ,0.013316,0.995731
10 ,0.011029,0.996515
11 ,0.008490,0.997282
12 ,0.007620,0.997549
13 ,0.005471,0.998199
14 ,0.006128,0.997832
15 ,0.007278,0.997899
16 ,0.005796,0.998266
17 ,0.005837,0.998149
18 ,0.004024,0.998733
19 ,0.003572,0.998899
20 ,0.002629,0.999033
