1  ,1.384996,0.762444,0.530166,0.754407
2  ,0.642983,0.420440,0.796358,0.867388
3  ,0.424237,0.290026,0.867830,0.909956
4  ,0.327792,0.230754,0.897946,0.929187
5  ,0.275231,0.201935,0.914788,0.935697
6  ,0.240522,0.177492,0.926594,0.941707
7  ,0.219886,0.156148,0.932347,0.950921
8  ,0.199684,0.140629,0.938551,0.956230
9  ,0.182099,0.138064,0.942803,0.956130
10 ,0.172636,0.124146,0.947906,0.961038
11 ,0.160782,0.121313,0.950707,0.962440
12 ,0.150908,0.116159,0.952775,0.964143
13 ,0.145465,0.100937,0.954642,0.967448
14 ,0.140981,0.102606,0.956527,0.967448
15 ,0.131190,0.100220,0.959295,0.967348
16 ,0.131290,0.095009,0.959895,0.970954
17 ,0.122949,0.085843,0.961329,0.972756
18 ,0.117690,0.090329,0.964398,0.971054
19 ,0.117365,0.089099,0.963814,0.972356
20 ,0.114986,0.085624,0.963897,0.972857
